CoinA,CoinB,profit,std,total_trades
AEVOUSDT,ZILUSDT,0.06726665533708433,0.02029490200309546,34
AEVOUSDT,SXPUSDT,0.018701832427864072,0.013159279766726236,24
AEVOUSDT,ZRXUSDT,0.02360980307739864,0.016509490410498512,76
ANKRUSDT,ACHUSDT,0.02293295151105956,0.018063082002195013,82
ANKRUSDT,AEVOUSDT,-0.03694295457533482,0.018989000087682964,60
ANKRUSDT,AXSUSDT,-0.13528735144996193,0.0212086514652438,72
ANKRUSDT,C98USDT,-0.0875404617647094,0.019169461750070827,56
ANKRUSDT,CELOUSDT,-0.16121611577524025,0.015886894570611883,62
ANKRUSDT,ENSUSDT,-0.2125932567096277,0.023590585110707513,78
ANKRUSDT,FILUSDT,-0.022187568152679134,0.021000791811168595,54
ANKRUSDT,IOTAUSDT,-0.14763181554345856,0.014491985236174577,72
ANKRUSDT,MANTAUSDT,-0.04615369936586261,0.017603959085351836,54
ANKRUSDT,SANDUSDT,-0.09173906092186601,0.02118545470161792,64
ANKRUSDT,SYSUSDT,0.008330638023709664,0.0032414876247244943,4
ANKRUSDT,WAXPUSDT,-0.07529148205372922,0.013799285590222024,62
ANKRUSDT,ZILUSDT,0.04399397232833642,0.020071680401701052,66
ANKRUSDT,SXPUSDT,-0.194033315502826,0.019023491366823343,64
ANKRUSDT,AGLDUSDT,-0.0901773000766026,0.020617007752414467,66
ANKRUSDT,ZRXUSDT,-0.08588651131516221,0.01959170478857185,44
ARKMUSDT,FILUSDT,-0.15893360948376786,0.023338096707738128,56
ARKMUSDT,GRTUSDT,0.07245297850056738,0.02151434057830012,70
ARKMUSDT,MINAUSDT,0.1358219179701892,0.021987123856244295,64
ARKMUSDT,NEARUSDT,0.07369882111268383,0.03228769391780687,72
ARKMUSDT,STXUSDT,0.15470598577495218,0.025708321104855818,92
ARKMUSDT,THETAUSDT,0.03621541103277887,0.022845822096034203,98
ATAUSDT,MINAUSDT,-0.12691735019247488,0.021841571861017643,64
ATAUSDT,STXUSDT,-0.023177131202010346,0.024778436100602853,68
ATAUSDT,THETAUSDT,0.15847424312142552,0.02375298720517735,72
ATAUSDT,YGGUSDT,-0.45758710763821014,0.04108207284818403,100
ATAUSDT,KSMUSDT,0.009953829014729328,0.017436975545961415,38
AXSUSDT,1000XECUSDT,-0.22729151023275806,0.01906608816752148,72
AXSUSDT,AEVOUSDT,-0.08589939663108585,0.022508572318590808,74
AXSUSDT,ANKRUSDT,-0.1352873514499619,0.0212086514652438,72
AXSUSDT,BEAMUSDT,-0.14821924466497016,0.02222816763433169,68
AXSUSDT,C98USDT,-0.08414512903866453,0.020261770471464942,72
AXSUSDT,CELOUSDT,-0.08861364773286061,0.019055163923156957,72
AXSUSDT,ENJUSDT,-0.20819118352148128,0.019684666890493616,72
AXSUSDT,ENSUSDT,-0.010910501714982122,0.02402200332039894,82
AXSUSDT,FILUSDT,0.007125399176065643,0.016359538911035622,74
AXSUSDT,GRTUSDT,-0.20831837080618706,0.01959677323610765,76
AXSUSDT,IOTAUSDT,-0.05409012059620549,0.0209247639927531,46
AXSUSDT,MANTAUSDT,-0.1535617507816427,0.022143054082963017,72
AXSUSDT,NEARUSDT,-0.12877954631466462,0.027974593711778017,68
AXSUSDT,PEPEUSDT,-0.06677067837138378,0.02420440771661331,72
AXSUSDT,SANDUSDT,-0.07240988316978064,0.019359894825441565,76
AXSUSDT,SHIBUSDT,-0.15906606612612192,0.01800452847699503,72
AXSUSDT,WAXPUSDT,-0.10123914662328973,0.021000307000171456,56
AXSUSDT,ZILUSDT,-0.10225122166888227,0.019438968719463184,72
AXSUSDT,SXPUSDT,0.022806886374648196,0.026857461727679676,28
AXSUSDT,ZRXUSDT,-0.12033919503466381,0.01899460272014371,70
BEAMUSDT,MBOXUSDT,0.0,0.0,0
BEAMUSDT,AXSUSDT,-0.07647164725270157,0.022213512550827406,38
BEAMUSDT,COMPUSDT,-0.001820512921130399,0.006419833482521698,4
BEAMUSDT,GRTUSDT,0.03590518812947871,0.013849815262577473,34
BEAMUSDT,NEARUSDT,0.09904801532383893,0.021656421550342836,24
BEAMUSDT,SHIBUSDT,-0.0654436699650017,0.017092549019296865,30
BEAMUSDT,THETAUSDT,0.052143452946881254,0.019355206116251817,36
C98USDT,1000XECUSDT,-0.08043330484182054,0.01933347284304127,58
C98USDT,ACHUSDT,-0.05493197338360012,0.021352677183867297,46
C98USDT,AEVOUSDT,-0.04697359058985372,0.018133388749473265,62
C98USDT,ANKRUSDT,-0.10337353294419818,0.019926578533902797,54
C98USDT,AXSUSDT,-0.06850304184219312,0.02081489890103176,68
C98USDT,CELOUSDT,-0.08985536132139564,0.017975716106137237,70
C98USDT,ENJUSDT,-0.07566508881379283,0.01965098865281425,88
C98USDT,ENSUSDT,-0.1826593364782111,0.02353567537116727,78
C98USDT,FILUSDT,-0.005536332722701794,0.019919853110230906,58
C98USDT,GRTUSDT,0.01547223136427795,0.0195084000745204,106
C98USDT,IOTAUSDT,-0.03524809416482854,0.015054383640830981,70
C98USDT,MANTAUSDT,0.025782868594435814,0.01728609609464185,60
C98USDT,SANDUSDT,-0.11981883630623412,0.023713419919297193,72
C98USDT,SHIBUSDT,0.051806302105924226,0.019038104933822658,56
C98USDT,SYSUSDT,0.014640916251272087,0.026232570339653084,4
C98USDT,TNSRUSDT,0.02807192557821937,0.021039337939953457,76
C98USDT,WAXPUSDT,0.0015951513638530583,0.018252751525544477,54
C98USDT,ZILUSDT,0.021566228647078307,0.018655521399047317,56
C98USDT,SXPUSDT,-0.06851362846071538,0.019451926418039896,66
C98USDT,AGLDUSDT,-0.09947477602307818,0.018449626065144168,68
C98USDT,ZRXUSDT,-0.0539254441876837,0.014961266691658683,34
CELOUSDT,1000XECUSDT,-0.07930674303480681,0.017326681142819288,70
CELOUSDT,ACHUSDT,-0.017807852850752252,0.023666069670986375,12
